date,ga_session_id,continent,country,device,browser,mobile_model_name,operating_system,language,traffic_source,traffic_channel,account_id,is_verified,is_unsubscribed,category,name,price,short_description
2021-01-14,2102454485,Americas,United States,desktop,Chrome,Chrome,Windows,,(organic),Organic Search,,,,,,,
2020-12-20,6986698051,Americas,United States,mobile,Chrome,<Other>,Android,,(organic),Organic Search,,,,,,,
2021-01-14,1556430305,Asia,India,tablet,Safari,iPad,iOS,,(organic),Organic Search,,,,,,,
2021-01-06,2097237538,Europe,United Kingdom,desktop,Chrome,Safari,Web,en-us,(referral),Paid Search,,,,,,,
2020-12-30,5298798675,Asia,Thailand,desktop,Safari,Safari,Macintosh,fr,(referral),Paid Search,,,,,,,
2021-01-23,6596261236,Asia,Taiwan,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-27,3924024146,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(direct),Direct,,,,,,,
2020-12-08,3585796434,Americas,United States,mobile,Chrome,<Other>,Web,,(direct),Direct,,,,,,,
2021-01-11,1306118141,Americas,United States,desktop,Chrome,ChromeBook,Web,en-us,(organic),Organic Search,649066,1,0,,,,
2021-01-06,547624802,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(organic),Organic Search,,,,,,,
2021-01-24,19494359,Asia,India,desktop,Chrome,Chrome,Windows,en-us,(direct),Direct,,,,,,,
2020-11-24,6822079054,Americas,United States,desktop,Chrome,ChromeBook,Web,en-us,<Other>,Paid Search,,,,,,,
2021-01-04,4296740774,Europe,Switzerland,mobile,Chrome,iPhone,iOS,,(direct),Direct,,,,,,,
2020-11-25,4677053061,Europe,Germany,mobile,<Other>,<Other>,Android,,(direct),Direct,,,,,,,
2020-12-31,3029831960,Asia,India,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-06,8572901970,Asia,Japan,desktop,Chrome,Safari,Macintosh,,(organic),Paid Search,,,,,,,
2020-12-07,9090026358,Europe,France,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,669466,1,1,,,,
2020-11-17,7660075937,Americas,United States,mobile,Safari,iPhone,Web,en-us,(referral),Paid Search,,,,,,,
2021-01-25,2735310460,Europe,Lithuania,mobile,Chrome,Pixel 4 XL,Android,en-us,(organic),Paid Search,,,,,,,
2020-11-19,527414011,Americas,United States,mobile,<Other>,<Other>,Android,en-us,(referral),Social Search,644199,1,0,,,,
2020-11-11,3207748479,Europe,United Kingdom,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-23,1668276282,Americas,United States,desktop,Chrome,Safari,Web,,(organic),Organic Search,,,,,,,
2020-11-02,2931006493,Americas,Canada,desktop,Edge,Edge,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-29,5027551374,Americas,United States,desktop,Chrome,Chrome,Windows,en-us,(organic),Organic Search,,,,,,,
2020-11-22,6442241712,Americas,United States,desktop,Chrome,Safari,Web,en-us,(direct),Direct,,,,,,,
2020-11-19,130384080,Europe,United Kingdom,mobile,Safari,iPhone,iOS,en-ca,<Other>,Organic Search,,,,,,,
2021-01-20,1081539497,Asia,Iraq,desktop,Chrome,Chrome,Web,en-us,(data deleted),Undefined,,,,,,,
2020-11-12,8463157403,Europe,Poland,desktop,Chrome,Chrome,Web,,(referral),Paid Search,,,,,,,
2021-01-17,1700770001,Americas,United States,mobile,Chrome,Pixel 4 XL,Android,zh,(organic),Organic Search,,,,,,,
2021-01-25,2890676320,Europe,Spain,mobile,Safari,iPhone,iOS,en-us,(organic),Paid Search,,,,,,,
2020-11-26,989441611,Asia,India,desktop,Chrome,Chrome,Web,en-us,(referral),Social Search,,,,,,,
2020-11-10,4919275789,Asia,Japan,mobile,Safari,iPhone,Web,,(organic),Organic Search,,,,,,,
2020-11-20,2089643018,Europe,United Kingdom,desktop,Chrome,Safari,Web,en-gb,(referral),Paid Search,,,,,,,
2020-12-05,55787561,Americas,United States,mobile,Chrome,<Other>,Web,en-ca,(organic),Organic Search,657642,0,0,,,,
2020-12-22,5710897111,Europe,Croatia,desktop,Chrome,Safari,Macintosh,en-ca,(direct),Direct,,,,,,,
2020-12-06,3199931861,Americas,United States,mobile,Safari,iPhone,Web,ko,(direct),Direct,,,,,,,
2020-12-18,7248908078,Americas,United States,mobile,Chrome,<Other>,Android,,(organic),Organic Search,,,,,,,
